author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground,residential_complex,price_per_m2
NF GROUP,real_estate_agent,Москва,sale,flat,3,3,-1,784.3,800000000.0,2004,-1,-1,-1,20 м²,Раменки,Минская ,1Гк7,Ломоносовский проспект,,1020017.8503123805
Донстрой,developer,Москва,sale,flat,10,24,2,78.0,108342000.0,2028,Монолитно-кирпичный,"Без отделки, чистовая, чистовая с мебелью","25,8 м²","26,5 м²",Замоскворечье,Большая Татарская ,,Новокузнецкая,Татарская 35,1389000.0
Концерн КРОСТ,developer,Москва,sale,flat,18,28,2,50.3,29073400.0,2026,Монолитный,Без отделки,"11,9 м²","10,4 м²",Хорошево-Мневники, Генерала Глаголева,,Карамышевская,CRYSTAL Трилогия,578000.0
NF GROUP,real_estate_agent,Москва,sale,flat,14,20,3,132.5,125000000.0,2012,-1,-1,-1,10 м²,Гагаринский, Косыгина,13к1,Воробьёвы горы,Фамильный дом Воробьево,943396.2264150943
VESPER,developer,Москва,sale,flat,8,9,1,57.6,136216080.0,2023,Монолитный,Чистовая с мебелью,-1,-1,Тверской,1-я Тверская-Ямская ,2А,Маяковская,Vesper Tverskaya,2364862.5
NF GROUP,real_estate_agent,Москва,sale,flat,5,5,4,227.1,229000000.0,1917,-1,-1,-1,20 м²,Басманный, Макаренко,5С1а,Чистые пруды,,1008366.3584324087
Sminex,developer,Москва,sale,flat,2,12,1,66.6,151890000.0,2027,Монолитно-кирпичный,Без отделки,"16,7 м²","26,8 м²",Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк ,2280630.630630631
White and Broughton,real_estate_agent,Москва,sale,flat,20,41,4,176.6,109500000.0,-1,-1,-1,"87,3 м²","5,7 м²",Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,620045.3001132503
Центр Инвест,developer,Москва,sale,flat,7,9,2,69.9,75078515.0,2021,"Монолитно-кирпичный, монолитный",Без отделки,"18,3 м²","34,6 м²",Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической,1074084.6208869813
Whitewill,real_estate_agent,Москва,sale,flat,2,12,5,290.0,280000000.0,-1,-1,-1,120 м²,30 м²,Раменки, Улофа Пальме,7,Минская,Lake House,965517.2413793104
NF GROUP,real_estate_agent,Москва,sale,flat,4,12,4,212.0,325000000.0,2002,-1,-1,-1,20 м²,Пресненский,Шведский тупик,3,Тверская,,1533018.8679245282
Hutton Development,developer,Москва,sale,flat,5,6,2,75.6,211680000.0,2026,-1,Без отделки,-1,-1,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO,2800000.0
Capital Group,developer,Москва,sale,flat,67,67,2,116.2,132661182.0,2023,Монолитный,-,"93,8 м²","17,4 м²",Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers,1141662.4956970739
Tekta Group,developer,Москва,sale,flat,27,34,1,38.0,18892520.0,2026,Монолитно-кирпичный,Без отделки,"12,8 м²",-1,Нагорный,Электролитный проезд,12Б,Нагорная,Twelve,497171.5789473684
NF GROUP,real_estate_agent,Москва,sale,flat,17,53,3,95.0,90000000.0,2014,-1,-1,-1,7 м²,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,947368.4210526316
MR Group,developer,Москва,sale,flat,2,57,2,58.48,32498973.0,2025,Монолитно-кирпичный,Предчистовая,-1,-1,Филевский парк,,,Фили,Фили Сити ЖК,555727.9924760602
Sminex,developer,Москва,sale,flat,9,14,2,66.9,43340000.0,2023,Монолитный,"Без отделки, чистовая","24,8 м²","22,9 м²",Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden,647832.5859491779
Kalinka Group,real_estate_agent,Москва,sale,flat,6,12,2,76.5,76500000.0,-1,-1,-1,-1,10 м²,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская,1000000.0
Пионер,developer,Москва,sale,flat,2,18,1,46.1,38240014.0,2028,Монолитный,"Без отделки, чистовая",-1,-1,Донской,м. Ленинский проспект,,Ленинский проспект,Шифт ЖК,829501.388286334
Kalinka Group,real_estate_agent,Москва,sale,flat,49,51,3,84.5,50700000.0,-1,-1,-1,-1,15 м²,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56",600000.0
Дмитрий Асташов,realtor,Москва,sale,flat,11,14,1,32.8,24000000.0,1973,-1,-1,-1,-1,Хамовники,Большой Саввинский переулок,10С1,Киевская,,731707.3170731708
Аврора Проперти,real_estate_agent,Москва,sale,flat,22,22,2,73.6,33900000.0,2010,-1,-1,-1,"15,8 м²",Хорошевский, Полины Осипенко,10к1,ЦСКА,Полины Осипенко 10к1,460597.82608695654
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,12,3,85.3,100000000.0,1954,-1,-1,-1,25 м²,Арбат,Смоленская набережная,5/13,Смоленская,,1172332.9425556858
Sminex,developer,Москва,sale,flat,2,22,3,120.0,118300000.0,2026,Монолитный,Без отделки,"46,1 м²","30,2 м²",Пресненский,,,Улица 1905 года,Лайф Тайм ЖК,985833.3333333334
Monumental Group,real_estate_agent,Москва,sale,flat,3,5,4,109.0,79970000.0,-1,-1,-1,-1,9 м²,Пресненский,Малая Бронная ,12С4,Пушкинская,,733669.7247706422
Hutton Development,developer,Москва,sale,flat,6,8,1,32.0,22720000.0,2024,"Монолитно-кирпичный, монолитный","Предчистовая, черновая, чистовая","4,4 м²","9,5 м²",Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar,710000.0
NF GROUP,real_estate_agent,Москва,sale,flat,4,30,-1,560.0,205000000.0,2001,-1,-1,-1,26 м²,Щукино,Авиационная ,79,Щукинская,Алые Паруса,366071.4285714286
St Michael,developer,Москва,sale,flat,3,21,3,67.2,40640166.0,2024,Монолитно-кирпичный,Без отделки,"33,5 м²",-1,Хорошевский,9Ак7,9Ак7,Полежаевская,Зорге 9 ЖК,604764.375
