author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground,residential_complex,price_per_m2
Intermark Real Estate,real_estate_agent,Москва,sale,flat,9,13,4,173.0,420000000.0,2019,-1,-1,131 м²,25 м²,Хамовники,Погодинская ,2,Фрунзенская,Жизнь на Плющихе,2427745.6647398844
Ашихмин и партнёры,real_estate_agent,Москва,sale,flat,3,4,5,210.0,535710000.0,-1,-1,-1,-1,15 м²,Тверской,Дмитровский переулок,7,Театральная,Петровъ Дом,2551000.0
Contact Real Estate,real_estate_agent,Москва,sale,flat,5,12,1,34.1,19000000.0,-1,-1,-1,-1,10 м²,Обручевский, Академика Челомея,1А,Воронцовская,AFI Park ,557184.7507331378
Villagio Realty,real_estate_agent,Москва,sale,flat,2,33,1,50.0,22000000.0,2024,-1,-1,45 м²,-1,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,Level Причальный,440000.0
Lars Real Estate,real_estate_agent,Москва,sale,flat,11,21,2,53.0,22650000.0,2019,-1,-1,30 м²,10 м²,Войковский,Выборгская ,9/1,Водный стадион,Невский,427358.4905660377
Александр Семенов,realtor,Москва,sale,flat,6,9,2,52.0,31500000.0,1946,-1,-1,37 м²,"7,5 м²",Дорогомилово,Кутузовский проспект,23К1,Москва-Сити,,605769.2307692308
Агентство недвижимости Елены Кузнецовой,real_estate_agent,Москва,sale,flat,22,39,4,98.0,39000000.0,-1,-1,-1,73 м²,8 м²,Раменки, Лобачевского,120к1,Аминьевская,Крылья,397959.1836734694
PANDA ESTATE,real_estate_agent,Москва,sale,flat,9,9,3,70.0,40000000.0,-1,-1,-1,-1,20 м²,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,571428.5714285715
Агентство недвижимости Елены Кузнецовой,real_estate_agent,Москва,sale,flat,24,42,3,98.2,40900000.0,-1,-1,-1,"48,9 м²",23 м²,Раменки, Лобачевского,120к1,Аминьевская,Крылья,416496.94501018326
Князев и Партнёры,real_estate_agent,Москва,sale,flat,8,14,3,68.9,53500000.0,2023,-1,-1,"42,5 м²",10 м²,Раменки,проспект Генерала Дорохова,39к2М,Минская,Собрание клубных домов West Garden,776487.663280116
PANDA ESTATE,real_estate_agent,Москва,sale,flat,20,29,4,100.0,60000000.0,-1,-1,-1,-1,30 м²,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,600000.0
Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,9,18,3,122.0,62700000.0,2005,-1,-1,"57,3 м²","38,4 м²",Ломоносовский, Архитектора Власова,6,Профсоюзная,Вавилово,513934.4262295082
PANDA ESTATE,real_estate_agent,Москва,sale,flat,20,29,4,100.0,63000000.0,-1,-1,-1,-1,30 м²,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,630000.0
Contact Real Estate,real_estate_agent,Москва,sale,flat,11,12,2,78.58,63988000.0,2019,-1,-1,-1,15 м²,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская,814303.8941206414
Contact Real Estate,real_estate_agent,Москва,sale,flat,10,12,2,79.0,69000000.0,2019,-1,-1,-1,25 м²,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская,873417.7215189873
Marry Lane Group,real_estate_agent,Москва,sale,flat,25,30,4,97.5,70000000.0,-1,-1,-1,60 м²,25 м²,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner,717948.717948718
Soul Estate,real_estate_agent,Москва,sale,flat,27,41,3,79.0,74000000.0,-1,-1,-1,-1,10 м²,Раменки,Парклэйн тер.,к2,Кутузовская,Hide,936708.8607594937
Князев и Партнёры,real_estate_agent,Москва,sale,flat,9,78,3,95.6,75000000.0,2020,-1,-1,"60,7 м²",28 м²,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS,784518.8284518829
PANDA ESTATE,real_estate_agent,Москва,sale,flat,9,10,2,82.0,78500000.0,-1,-1,-1,-1,20 м²,Хамовники,Ружейный переулок,3,Смоленская,Смоленская Застава,957317.0731707317
Delight Realty,real_estate_agent,Москва,sale,flat,4,7,4,156.0,86120999.0,1911,-1,-1,98 м²,20 м²,Хамовники, Знаменка,13С1,Боровицкая,,552057.6858974359
Monumental Group,real_estate_agent,Москва,sale,flat,3,3,4,307.0,89970000.0,-1,-1,-1,-1,20 м²,Тверской,Воротниковский переулок,8С1,Маяковская,,293061.88925081433
Soul Estate,real_estate_agent,Москва,sale,flat,13,32,3,86.7,95000000.0,2024,-1,-1,-1,12 м²,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9,1095732.4106113033
Contact Real Estate,real_estate_agent,Москва,sale,flat,36,53,2,80.0,100000000.0,2023,-1,-1,"17,9 м²",38 м²,Пресненский,Шмитовский проезд,39к8,Москва-Сити,Headliner,1250000.0
EXCLUSIVE CITY,real_estate_agent,Москва,sale,flat,30,68,2,84.0,150000000.0,2020,-1,-1,-1,-1,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS,1785714.2857142857
Contact Real Estate,real_estate_agent,Москва,sale,flat,10,10,5,247.2,155000000.0,1995,-1,-1,-1,25 м²,Тверской,Весковский переулок,2,Новослободская,,627022.6537216828
Soul Estate,real_estate_agent,Москва,sale,flat,10,16,3,159.4,162000000.0,-1,-1,-1,-1,10 м²,Арбат,1-й Смоленский переулок,17,Смоленская,Новопесковский,1016311.1668757842
BARNES International Realty,real_estate_agent,Москва,sale,flat,16,24,5,180.0,180000000.0,2019,-1,-1,-1,23 м²,Беговой,Верхняя ,20к1,Белорусская,Суббота,1000000.0
BARNES International Realty,real_estate_agent,Москва,sale,flat,4,4,-1,450.0,190000000.0,2006,-1,-1,-1,20 м²,Таганский,4-й Крутицкий переулок,14,Пролетарская,,422222.22222222225
Soul Estate,real_estate_agent,Москва,sale,flat,6,16,3,124.7,199520000.0,2017,-1,-1,-1,15 м²,Раменки,Воробьевское шоссе,4С1,Поклонная,Воробьёв Дом,1600000.0
Monumental Group,real_estate_agent,Москва,sale,flat,5,5,5,255.0,205000000.0,2019,-1,-1,150 м²,20 м²,Хамовники,Нащокинский переулок,8,Кропоткинская,,803921.568627451
Contact Real Estate,real_estate_agent,Москва,sale,flat,12,12,3,159.4,207000000.0,2019,-1,-1,-1,40 м²,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская,1298619.8243412797
Contact Real Estate,real_estate_agent,Москва,sale,flat,12,12,3,148.7,208180000.0,2019,-1,-1,-1,35 м²,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская,1400000.0
Monumental Group,real_estate_agent,Москва,sale,flat,2,3,3,171.0,218990000.0,2019,-1,-1,128 м²,24 м²,Хамовники,Нащокинский переулок,8,Кропоткинская,,1280643.2748538011
PEOPLE,real_estate_agent,Москва,sale,flat,5,13,2,107.0,229900000.0,2019,-1,-1,-1,-1,Хамовники,Погодинская ,2,Фрунзенская,Жизнь на Плющихе,2148598.1308411215
Delight Realty,real_estate_agent,Москва,sale,flat,7,18,4,190.0,265000000.0,2013,-1,-1,-1,20 м²,Раменки,Ломоносовский проспект,25к5,Университет,Dominion,1394736.8421052631
Contact Real Estate,real_estate_agent,Москва,sale,flat,6,8,2,96.0,280000000.0,2014,-1,-1,-1,20 м²,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор,2916666.6666666665
Contact Real Estate,real_estate_agent,Москва,sale,flat,7,7,-1,264.0,300000000.0,1938,-1,-1,-1,20 м²,Пресненский,Малая Никитская ,16/5,Баррикадная,,1136363.6363636365
Whitewill,real_estate_agent,Москва,sale,flat,3,6,3,145.0,310000000.0,-1,-1,-1,70 м²,20 м²,Хамовники,Курсовой переулок,10/1,Кропоткинская,Nabokov,2137931.0344827585
PANDA ESTATE,real_estate_agent,Москва,sale,flat,6,11,5,200.0,350000000.0,2020,-1,-1,-1,50 м²,Дорогомилово,Кутузовский проспект,12,Киевская,Кутузовский XII,1750000.0
Contact Real Estate,real_estate_agent,Москва,sale,flat,4,6,4,216.0,410000000.0,-1,-1,-1,152 м²,20 м²,Якиманка,Софийская набережная,18,Боровицкая,"Золотой, жилой квартал",1898148.148148148
Contact Real Estate,real_estate_agent,Москва,sale,flat,6,8,4,206.5,420000000.0,2012,-1,-1,150 м²,30 м²,Арбат,Большой Афанасьевский переулок,28,Арбатская,Афанасьевский,2033898.3050847459
Intermark Real Estate,real_estate_agent,Москва,sale,flat,5,8,4,171.0,439500000.0,2012,-1,-1,117 м²,14 м²,Арбат,Большой Афанасьевский переулок,28,Арбатская,Афанасьевский,2570175.4385964912
Apple Real Estate,real_estate_agent,Москва,sale,flat,3,7,4,315.7,440000000.0,-1,-1,-1,145 м²,50 м²,Хамовники,Пожарский переулок,5А,Кропоткинская,,1393728.2229965157
Eightmix Property,real_estate_agent,Москва,sale,flat,1,10,3,305.0,450000000.0,-1,-1,-1,115 м²,20 м²,Хамовники, Усачева,11,Спортивная,,1475409.8360655739
Soul Estate,real_estate_agent,Москва,sale,flat,7,7,4,285.0,550000000.0,2021,-1,-1,-1,22 м²,Пресненский,Средний Тишинский переулок,5,Белорусская,Дом на Тишинке,1929824.5614035088
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,6,-1,435.2,932512999.0,2003,-1,-1,-1,"27,4 м²",Хамовники,Бутиковский переулок,5,Парк Культуры,Бутиковский 5,2142722.8837316176
Алексей Рыбаков,realtor,Москва,sale,flat,1,5,2,43.0,10950000.0,1963,-1,-1,27 м²,6 м²,Измайлово,Измайловский проезд,6К2,Измайловская,,254651.16279069768
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,19,41,1,43.0,32500000.0,2024,-1,-1,-1,15 м²,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,755813.9534883721
ID 43533634,realtor,Москва,sale,flat,19,20,2,58.0,33990000.0,2022,-1,-1,35 м²,21 м²,Филевский парк,Большая Филевская ,3к2,Фили,Западный порт,586034.4827586206
Агентство недвижимости Елены Кузнецовой,real_estate_agent,Москва,sale,flat,7,32,3,98.0,39500000.0,-1,-1,-1,"42,7 м²",18 м²,Раменки, Лобачевского,120к1,Аминьевская,Крылья,403061.2244897959
Агентство недвижимости Елены Кузнецовой,real_estate_agent,Москва,sale,flat,29,42,3,108.3,42900000.0,2022,-1,-1,"57,1 м²",22 м²,Раменки, Лобачевского,120к1,Аминьевская,Крылья,396121.8836565097
Навигатор,real_estate_agent,Москва,sale,flat,2,5,3,105.0,60000000.0,1890,-1,-1,70 м²,11 м²,Арбат,Новинский бульвар,13С6,Смоленская,,571428.5714285715
NF GROUP,real_estate_agent,Москва,sale,flat,46,75,2,114.2,86000000.0,2012,-1,-1,-1,10 м²,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр,753064.7985989492
Homeapp,real_estate_agent,Москва,sale,flat,16,19,3,94.7,89000000.0,2018,-1,-1,"39,9 м²",20 м²,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь,939809.9260823653
Webster,real_estate_agent,Москва,sale,flat,7,21,3,105.7,95000000.0,-1,-1,-1,60 м²,10 м²,Раменки,Ломоносовский проспект,25к5,Университет,Dominion,898770.1040681173
NF GROUP,real_estate_agent,Москва,sale,flat,34,57,4,180.0,172241999.0,2007,-1,-1,-1,15 м²,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас,956899.9944444444
Whitewill,real_estate_agent,Москва,sale,flat,3,5,-1,301.0,190000000.0,-1,-1,-1,"170,1 м²","49,4 м²",Красносельский,Сретенский бульвар,6/1С1,Тургеневская,,631229.2358803987
ZIP Realty,real_estate_agent,Москва,sale,flat,5,18,2,79.7,42000000.0,2015,-1,-1,44 м²,"12,5 м²",Хорошево-Мневники,Карамышевская набережная,36,Народное Ополчение,Wellton park,526976.1606022584
Whitewill,real_estate_agent,Москва,sale,flat,17,39,4,95.1,42300000.0,-1,-1,-1,63 м²,15 м²,Раменки, Лобачевского,120к1,Аминьевская,Крылья,444794.95268138807
Moscow Estate Group,real_estate_agent,Москва,sale,flat,23,26,-1,98.0,65000000.0,2021,-1,-1,-1,25 м²,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES,663265.306122449
ZIP Realty,real_estate_agent,Москва,sale,flat,9,18,4,176.6,93000000.0,2006,-1,-1,106 м²,"19,3 м²",Хорошевский, Гризодубовой,4К4,ЦСКА,Гранд-парк,526613.8165345413
Contact Real Estate,real_estate_agent,Москва,sale,flat,5,7,4,160.0,183000000.0,2019,-1,-1,-1,25 м²,Якиманка, Большая Полянка,44,Полянка,Полянка/44,1143750.0
Point Estate Город,real_estate_agent,Москва,sale,flat,16,23,5,180.0,185000000.0,-1,-1,-1,144 м²,"15,7 м²",Беговой,Верхняя ,20к1,Белорусская,Суббота,1027777.7777777778
Point Estate Город,real_estate_agent,Москва,sale,flat,3,5,-1,301.0,190000000.0,-1,-1,-1,240 м²,-1,Красносельский,Сретенский бульвар,6/1С1,Тургеневская,,631229.2358803987
NF GROUP,real_estate_agent,Москва,sale,flat,6,8,-1,192.7,400000000.0,2012,-1,-1,-1,15 м²,Арбат,Большой Афанасьевский переулок,28,Арбатская,,2075765.438505449
Whitewill,real_estate_agent,Москва,sale,flat,11,58,4,105.6,49000000.0,2021,-1,-1,"64,3 м²","15,2 м²",Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение,Wellton Towers,464015.15151515155
Trust Realty,real_estate_agent,Москва,sale,flat,2,6,4,221.0,165000000.0,1999,-1,-1,-1,-1,Пресненский, Климашкина,16,Улица 1905 года,,746606.3348416289
Contact Real Estate,real_estate_agent,Москва,sale,flat,5,7,3,160.0,183000000.0,2019,-1,-1,-1,25 м²,Якиманка, Большая Полянка,44,Полянка,Полянка/44,1143750.0
Intermark Real Estate,real_estate_agent,Москва,sale,flat,4,15,3,84.6,185000000.0,2021,-1,-1,56 м²,9 м²,Хамовники,Олсуфьевский переулок,9к1,Фрунзенская,White Khamovniki,2186761.229314421
NIKA ESTATE,real_estate_agent,Москва,sale,flat,2,5,3,123.0,274766999.0,2015,-1,-1,95 м²,15 м²,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas,2233878.0406504064
Contact Real Estate,real_estate_agent,Москва,sale,flat,3,6,4,155.0,285000000.0,-1,-1,-1,-1,18 м²,Хамовники,Пожарский переулок,3,Кропоткинская,Villa Grace,1838709.677419355
Contact Real Estate,real_estate_agent,Москва,sale,flat,6,8,4,170.0,439500000.0,2012,-1,-1,-1,25 м²,Арбат,Большой Афанасьевский переулок,28,Арбатская,Афанасьевский,2585294.117647059
Колди,developer,Москва,sale,flat,7,21,2,43.29,14336349.0,2025,Монолитно-кирпичный,Без отделки,-1,-1,Нижегородский,,,Калитники,Н'айс Лофт ЖК,331169.9930699931
CENTURY 21 Street Realty,real_estate_agent,Москва,sale,flat,30,39,4,106.0,43800000.0,2022,-1,-1,-1,16 м²,Раменки, Лобачевского,120к1,Аминьевская,Крылья,413207.5471698113
Intermark Real Estate,real_estate_agent,Москва,sale,flat,12,14,5,183.5,55000000.0,1994,-1,-1,80 м²,30 м²,Нагатино-Садовники,Нагатинская ,15К3,Коломенская,,299727.5204359673
Time Property,real_estate_agent,Москва,sale,flat,13,14,4,130.0,64900000.0,2009,-1,-1,-1,-1,Филевский парк,Филевский бульвар,24к3,Мнёвники,Ривер-Хаус,499230.76923076925
Whitewill,real_estate_agent,Москва,sale,flat,5,6,2,50.0,66960000.0,2023,-1,-1,34 м²,11 м²,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa,1339200.0
Point Estate Город,real_estate_agent,Москва,sale,flat,2,18,3,120.5,72300000.0,-1,-1,-1,48 м²,"67,5 м²",Тверской,Краснопролетарская ,7,Новослободская,Ласточкино гнездо,600000.0
Intermark Real Estate,real_estate_agent,Москва,sale,flat,8,22,4,181.0,73500000.0,2000,-1,-1,85 м²,17 м²,Фили-Давыдково,Рублевское шоссе,11К2,Кунцевская,,406077.34806629835
NIKA ESTATE,real_estate_agent,Москва,sale,flat,5,9,3,96.3,79000000.0,1940,-1,-1,61 м²,"7,9 м²",Тверской,Тверская ,15,Тверская,,820353.0633437176
NIKA ESTATE,real_estate_agent,Москва,sale,flat,3,9,4,143.0,127270000.0,2021,-1,-1,90 м²,15 м²,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической,890000.0
NF GROUP,real_estate_agent,Москва,sale,flat,33,65,3,190.0,132462299.0,2008,-1,-1,-1,15 м²,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц,697169.9947368421
Intermark Real Estate,real_estate_agent,Москва,sale,flat,2,5,2,105.0,155000000.0,2015,-1,-1,50 м²,23 м²,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas,1476190.4761904762
Apple Real Estate,real_estate_agent,Москва,sale,flat,2,6,4,219.0,165000000.0,-1,-1,-1,110 м²,16 м²,Пресненский, Климашкина,16,Улица 1905 года,,753424.6575342466
Intermark Real Estate,real_estate_agent,Москва,sale,flat,4,30,-1,511.0,205000000.0,2001,-1,-1,435 м²,25 м²,Щукино,Авиационная ,79,Щукинская,Алые Паруса,401174.168297456
NF GROUP,real_estate_agent,Москва,sale,flat,6,12,-1,204.6,415016266.0,2013,-1,-1,-1,32 м²,Тверской, Охотный Ряд,2,Охотный ряд,,2028427.4975562072
ID 109029373,homeowner,Москва,sale,flat,22,24,1,21.7,8450000.0,2025,-1,Чистовая,"10,6 м²","5,5 м²",Отрадное,,11,Дегунино,Римского-Корсакова 11 ЖК,389400.9216589862
MOD Estate,real_estate_agent,Москва,sale,flat,6,58,1,24.3,12000000.0,2026,-1,Без отделки,-1,-1,Коньково, Обручева,30а,Калужская,Обручева 30,493827.16049382713
Whitewill,real_estate_agent,Москва,sale,flat,9,20,1,25.6,19500000.0,-1,-1,-1,15 м²,5 м²,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ,761718.75
One Moscow,real_estate_agent,Москва,sale,flat,6,22,2,70.5,25500000.0,2025,-1,Без отделки,"25,8 м²","21,3 м²",Печатники,Южнопортовая ,,Угрешская,Portland,361702.12765957444
Whitewill,real_estate_agent,Москва,sale,flat,14,32,3,53.1,29500000.0,2023,-1,-1,34 м²,11 м²,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный,555555.5555555555
Villagio Realty,real_estate_agent,Москва,sale,flat,6,7,3,82.0,32000000.0,1954,-1,-1,53 м²,-1,Даниловский,2-й Автозаводский проезд,5,Автозаводская,,390243.9024390244
CENTURY 21 Street Realty,real_estate_agent,Москва,sale,flat,3,24,3,104.0,38399000.0,2012,-1,-1,-1,-1,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park,369221.1538461539
Whitewill,real_estate_agent,Москва,sale,flat,11,28,4,99.1,45000000.0,2023,-1,-1,"40,2 м²","29,9 м²",Даниловский,набережная Марка Шагала,11к2,ЗИЛ,Shagal,454086.7810292634
Whitewill,real_estate_agent,Москва,sale,flat,28,39,3,71.0,47000000.0,2022,-1,-1,50 м²,8 м²,Раменки, Лобачевского,120к1,Аминьевская,Крылья,661971.8309859155
Whitewill,real_estate_agent,Москва,sale,flat,2,39,2,69.0,47000000.0,2022,-1,-1,35 м²,10 м²,Раменки, Лобачевского,120к1,Аминьевская,Крылья,681159.4202898551
Whitewill,real_estate_agent,Москва,sale,flat,2,12,3,119.8,47000000.0,2023,-1,Без отделки,"70,2 м²",10 м²,Хорошево-Мневники,Жилой комплекс остров,4-й кв-л,Терехово ,Остров,392320.53422370617
Whitewill,real_estate_agent,Москва,sale,flat,21,36,3,86.5,48900000.0,-1,-1,-1,64 м²,12 м²,Хорошево-Мневники,Шелепихинская набережная,34к1зд5,Шелепиха,Сердце Столицы,565317.9190751445
Delight Realty,real_estate_agent,Москва,sale,flat,7,17,3,108.8,54000000.0,2002,-1,-1,78 м²,17 м²,Раменки,Мичуринский проспект,11К4,Раменки,,496323.5294117647
SHOW ME,real_estate_agent,Москва,sale,flat,19,20,3,110.0,56500000.0,2023,-1,-1,68 м²,28 м²,Левобережный,Ленинградское шоссе,69к3,Беломорская,Aquatoria,513636.36363636365
SHOW ME,real_estate_agent,Москва,sale,flat,1,20,4,118.0,57700000.0,2023,-1,-1,45 м²,27 м²,Левобережный,Ленинградское шоссе,69к3,Беломорская,Aquatoria,488983.0508474576
Whitewill,real_estate_agent,Москва,sale,flat,24,79,2,61.2,58000000.0,2020,-1,-1,"35,2 м²",21 м²,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS,947712.4183006536
Whitewill,real_estate_agent,Москва,sale,flat,28,32,4,113.0,61000000.0,2023,-1,-1,"74,4 м²","12,2 м²",Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,Level Причальный,539823.0088495575
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,40,48,5,122.0,62500000.0,2021,-1,-1,79 м²,35 м²,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers,512295.08196721313
Whitewill,real_estate_agent,Москва,sale,flat,10,26,3,95.59,65000000.0,2025,-1,Без отделки,"38,6 м²","28,9 м²",Пресненский, Пресненский Вал,27С2,Белорусская,Republic,679987.4463856051
BARNES International Realty,real_estate_agent,Москва,sale,flat,13,22,4,101.0,69900000.0,2018,-1,-1,-1,15 м²,Хорошево-Мневники,Живописная ,21А,Серебряный Бор,Дом Серебряный Бор,692079.207920792
Whitewill,real_estate_agent,Москва,sale,flat,23,34,2,88.0,69990000.0,-1,-1,-1,36 м²,34 м²,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы,795340.9090909091
Whitewill,real_estate_agent,Москва,sale,flat,2,10,2,69.4,71900000.0,-1,-1,-1,38 м²,12 м²,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge,1036023.0547550431
Whitewill,real_estate_agent,Москва,sale,flat,4,14,3,101.0,74000000.0,-1,-1,-1,61 м²,"12,3 м²",Даниловский, Архитектора Щусева,3,ЗИЛ,ЗИЛАРТ,732673.2673267326
Whitewill,real_estate_agent,Москва,sale,flat,30,42,3,153.6,74900000.0,-1,-1,-1,100 м²,20 м²,Раменки,Мосфильмовская ,70к2,Ломоносовский проспект,Воробьевы Горы,487630.2083333334
Whitewill,real_estate_agent,Москва,sale,flat,38,44,-1,260.0,79000000.0,-1,-1,-1,163 м²,40 м²,Хорошевский,Хорошевское шоссе,16к1,Беговая,Дом на Беговой,303846.1538461539
ID 76501505,homeowner,Москва,sale,flat,3,16,2,50.0,79900000.0,2026,-1,Чистовая,25 м²,-1,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,1598000.0
Delight Realty,real_estate_agent,Москва,sale,flat,2,7,3,87.0,90000000.0,1997,-1,-1,-1,-1,Пресненский,переулок Брюсов,2/14С1,Охотный ряд,,1034482.7586206896
Delight Realty,real_estate_agent,Москва,sale,flat,9,19,3,146.0,90000000.0,2024,-1,-1,120 м²,"16,2 м²",Даниловский,Г мкр,4,Крестьянская застава,Форивер ЖК,616438.3561643836
Whitewill,real_estate_agent,Москва,sale,flat,21,22,4,137.7,90900000.0,2024,-1,Чистовая,"50,7 м²","16,3 м²",Хорошево-Мневники, Нижние Мневники,16к5,Терехово ,Остров,660130.7189542485
Whitewill,real_estate_agent,Москва,sale,flat,13,25,3,88.4,92000000.0,2021,-1,-1,50 м²,18 м²,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES,1040723.9819004524
Whitewill,real_estate_agent,Москва,sale,flat,30,79,1,78.0,92880000.0,2019,-1,-1,50 м²,15 м²,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS,1190769.2307692308
Intermark Real Estate,real_estate_agent,Москва,sale,flat,19,23,3,146.9,95000000.0,2010,-1,-1,89 м²,17 м²,Очаково-Матвеевское,Староволынская ,12к3,Матвеевская,Волынский,646698.4343090537
Whitewill,real_estate_agent,Москва,sale,flat,35,41,3,98.0,95000000.0,-1,-1,-1,74 м²,5 м²,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,969387.7551020408
Whitewill,real_estate_agent,Москва,sale,flat,13,32,3,86.7,95000000.0,2024,-1,-1,"30,1 м²","33,8 м²",Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9,1095732.4106113033
Whitewill,real_estate_agent,Москва,sale,flat,3,6,2,70.0,97690000.0,-1,-1,-1,40 м²,15 м²,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом,1395571.4285714286
Delight Realty,real_estate_agent,Москва,sale,flat,4,4,5,159.5,111901559.0,1997,-1,-1,-1,30 м²,Тверской,Тверская ,6С6,Охотный ряд,,701577.1724137932
Whitewill,real_estate_agent,Москва,sale,flat,2,15,2,99.0,118000000.0,-1,-1,-1,63 м²,31 м²,Пресненский, Костикова,4к4,Улица 1905 года,Lucky,1191919.191919192
PANDA ESTATE,real_estate_agent,Москва,sale,flat,16,22,4,135.0,120000000.0,-1,-1,-1,90 м²,38 м²,Якиманка,Мытная ,40к1,Серпуховская,Sky House,888888.8888888889
Contact Real Estate,real_estate_agent,Москва,sale,flat,3,9,4,143.0,127270000.0,-1,-1,-1,90 м²,40 м²,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической,890000.0
Delight Realty,real_estate_agent,Москва,sale,flat,4,6,5,122.8,130000000.0,1912,-1,-1,-1,12 м²,Пресненский,Малая Бронная ,32,Пушкинская,,1058631.9218241042
Delight Realty,real_estate_agent,Москва,sale,flat,37,48,4,236.0,140000000.0,2004,-1,-1,-1,12 м²,Раменки,Мосфильмовская ,70к1,Ломоносовский проспект,Воробьевы Горы,593220.3389830509
Whitewill,real_estate_agent,Москва,sale,flat,5,6,3,123.0,147120000.0,2023,-1,-1,59 м²,25 м²,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa,1196097.5609756098
Whitewill,real_estate_agent,Москва,sale,flat,2,12,4,195.0,164000000.0,-1,-1,-1,100 м²,30 м²,Раменки, Сергея Бондарчука,4,Мичуринский проспект,Река,841025.641025641
Whitewill,real_estate_agent,Москва,sale,flat,4,21,4,136.0,170000000.0,-1,-1,-1,80 м²,32 м²,Пресненский, Костикова,4к6,Улица 1905 года,Lucky,1250000.0
Whitewill,real_estate_agent,Москва,sale,flat,4,6,4,185.0,178000000.0,-1,-1,-1,"75,2 м²",36 м²,Тверской,Тверская ,12С1,Тверская,,962162.1621621621
NIKA ESTATE,real_estate_agent,Москва,sale,flat,26,31,5,247.0,205049999.0,2007,-1,-1,150 м²,28 м²,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера,830161.939271255
Delight Realty,real_estate_agent,Москва,sale,flat,14,17,3,184.8,230000000.0,1997,-1,-1,99 м²,"26,2 м²",Арбат, Новый Арбат,29,Смоленская,,1244588.7445887446
Soul Estate,real_estate_agent,Москва,sale,flat,41,41,5,165.0,250000000.0,2024,-1,-1,-1,"30,5 м²",Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide,1515151.5151515151
Whitewill,real_estate_agent,Москва,sale,flat,5,5,-1,261.0,370000000.0,-1,-1,-1,175 м²,23 м²,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse,1417624.521072797
Whitewill,real_estate_agent,Москва,sale,flat,47,68,3,209.6,390000000.0,2020,-1,-1,46 м²,20 м²,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS,1860687.0229007634
